station_id,node_id,node_type,small_allowable_kWh,medium_allowable_kWh,large_allowable_kWh,charging_efficiency,base_price_per_kWh,is_charging_enabled
st_0,0,start,5.0,15.0,20.0,0.9,0.946,1
st_1,1,end,5.0,15.0,20.0,0.9,0.946,1
st_2,2,pickup,5.0,15.0,20.0,0.9,0.904,1
st_3,3,delivery,5.0,15.0,20.0,0.9,0.885,1
st_4,4,pickup,5.0,15.0,20.0,0.9,0.858,1
st_5,5,delivery,5.0,15.0,20.0,0.9,0.767,1
st_6,6,pickup,5.0,15.0,20.0,0.9,0.9,1
st_7,7,delivery,5.0,15.0,20.0,0.9,0.854,1
st_8,8,pickup,5.0,15.0,20.0,0.9,0.767,1
st_9,9,delivery,5.0,15.0,20.0,0.9,0.76,1
st_10,10,pickup,5.0,15.0,20.0,0.9,0.799,1
st_11,11,delivery,5.0,15.0,20.0,0.9,0.832,1
st_12,12,pickup,5.0,15.0,20.0,0.9,0.734,1
st_13,13,delivery,5.0,15.0,20.0,0.9,0.823,1
st_14,14,pickup,5.0,15.0,20.0,0.9,0.823,1
st_15,15,delivery,5.0,15.0,20.0,0.9,0.745,1
st_16,16,pickup,5.0,15.0,20.0,0.9,0.885,1
st_17,17,delivery,5.0,15.0,20.0,0.9,0.927,1
st_18,18,pickup,5.0,15.0,20.0,0.9,0.798,1
st_19,19,delivery,5.0,15.0,20.0,0.9,0.836,1
st_20,20,pickup,5.0,15.0,20.0,0.9,0.722,1
st_21,21,delivery,5.0,15.0,20.0,0.9,0.729,1
st_22,22,pickup,5.0,15.0,20.0,0.9,0.931,1
st_23,23,delivery,5.0,15.0,20.0,0.9,0.861,1
st_24,24,pickup,5.0,15.0,20.0,0.9,0.731,1
st_25,25,delivery,5.0,15.0,20.0,0.9,0.722,1
st_26,26,pickup,5.0,15.0,20.0,0.9,0.885,1
st_27,27,delivery,5.0,15.0,20.0,0.9,0.862,1
st_28,28,pickup,5.0,15.0,20.0,0.9,0.781,1
st_29,29,delivery,5.0,15.0,20.0,0.9,0.93,1
st_30,30,pickup,5.0,15.0,20.0,0.9,0.878,1
st_31,31,delivery,5.0,15.0,20.0,0.9,0.885,1
st_32,32,pickup,5.0,15.0,20.0,0.9,0.893,1
st_33,33,delivery,5.0,15.0,20.0,0.9,0.799,1
st_34,34,pickup,5.0,15.0,20.0,0.9,0.7,1
st_35,35,delivery,5.0,15.0,20.0,0.9,0.739,1
st_36,36,pickup,5.0,15.0,20.0,0.9,0.845,1
st_37,37,delivery,5.0,15.0,20.0,0.9,0.816,1
st_38,38,pickup,5.0,15.0,20.0,0.9,0.841,1
st_39,39,delivery,5.0,15.0,20.0,0.9,0.758,1
st_40,40,pickup,5.0,15.0,20.0,0.9,0.779,1
st_41,41,delivery,5.0,15.0,20.0,0.9,0.721,1
st_42,42,pickup,5.0,15.0,20.0,0.9,0.797,1
st_43,43,delivery,5.0,15.0,20.0,0.9,0.734,1
st_44,44,pickup,5.0,15.0,20.0,0.9,0.806,1
st_45,45,delivery,5.0,15.0,20.0,0.9,0.712,1
st_46,46,pickup,5.0,15.0,20.0,0.9,0.815,1
st_47,47,delivery,5.0,15.0,20.0,0.9,0.792,1
st_48,48,pickup,5.0,15.0,20.0,0.9,0.816,1
st_49,49,delivery,5.0,15.0,20.0,0.9,0.818,1
st_50,50,pickup,5.0,15.0,20.0,0.9,0.763,1
st_51,51,delivery,5.0,15.0,20.0,0.9,0.872,1
st_52,52,pickup,5.0,15.0,20.0,0.9,0.918,1
st_53,53,delivery,5.0,15.0,20.0,0.9,0.926,1
st_54,54,pickup,5.0,15.0,20.0,0.9,0.698,1
st_55,55,delivery,5.0,15.0,20.0,0.9,0.812,1
st_56,56,pickup,5.0,15.0,20.0,0.9,0.789,1
st_57,57,delivery,5.0,15.0,20.0,0.9,0.769,1
st_58,58,pickup,5.0,15.0,20.0,0.9,0.821,1
st_59,59,delivery,5.0,15.0,20.0,0.9,0.762,1
st_60,60,pickup,5.0,15.0,20.0,0.9,0.748,1
st_61,61,delivery,5.0,15.0,20.0,0.9,0.703,1
st_62,62,pickup,5.0,15.0,20.0,0.9,0.815,1
st_63,63,delivery,5.0,15.0,20.0,0.9,0.799,1
st_64,64,pickup,5.0,15.0,20.0,0.9,0.866,1
st_65,65,delivery,5.0,15.0,20.0,0.9,0.867,1
st_66,66,pickup,5.0,15.0,20.0,0.9,0.849,1
st_67,67,delivery,5.0,15.0,20.0,0.9,0.736,1
st_68,68,pickup,5.0,15.0,20.0,0.9,0.873,1
st_69,69,delivery,5.0,15.0,20.0,0.9,0.852,1
st_70,70,pickup,5.0,15.0,20.0,0.9,0.787,1
st_71,71,delivery,5.0,15.0,20.0,0.9,0.724,1
st_72,72,pickup,5.0,15.0,20.0,0.9,0.712,1
