from_node,to_node,distance_km
0,52,3.6521397391891735
0,104,2.1713988798487756
0,390,2.487567841873456
0,419,4.19231166257115
0,433,0.43575803967512133
0,453,2.1194777090619255
1,22,2.0649133664397263
1,116,1.8506961730230294
1,172,3.1316311218372217
1,275,3.485682582197023
1,533,2.8214069995211366
1,538,2.478014553342641
2,185,2.614462167001932
2,201,4.382979687905114
2,238,0.6474717192955003
2,272,0.285576930911154
2,444,1.6330395648761744
2,595,1.0287027191720577
3,68,1.8034905088431203
3,244,1.5732967453351525
3,283,2.5107851849419798
3,311,1.8797978797087103
3,364,1.2935658591059582
3,493,1.8449427550890463
3,556,1.4951409048866255
4,7,1.2304502090499754
4,66,2.154766800705574
4,119,1.4596267032328505
4,140,3.4410029509733957
4,325,2.8235024643262703
4,350,3.0630282526747354
5,59,3.372096169461365
5,160,3.7627367629534776
5,348,3.1704965131632523
5,423,4.771895443513536
5,559,2.606775974049846
6,109,1.63518434135761
6,153,2.967458919183127
6,262,3.0778434010897584
6,379,3.2790758492141006
6,388,3.7696248222071924
6,389,2.4141240937711617
6,450,3.4434623294817137
6,516,1.664525192940039
7,4,1.2304502090499754
7,66,3.0300199385347777
7,119,0.9287053981374574
7,141,2.0896753026301917
7,152,2.657259779441408
7,245,2.468878302932219
7,325,3.2706851517839106
7,430,2.826940119763282
8,9,1.2276554280606289
8,121,3.992376318213044
8,234,2.670415147475658
8,251,1.4499294779590737
8,347,1.8747377188141028
9,8,1.2276554280606289
9,234,3.5594887530343993
9,251,1.2914615946015005
9,347,2.6518407991068713
9,370,4.862277321348537
10,63,1.5435224435202155
10,142,1.9916608933317845
10,301,2.4507020803116877
10,436,2.984179475984233
10,482,2.4816443669793946
10,589,2.8304478103893285
11,123,1.813841651365694
11,137,2.3350627558383605
11,289,1.7592801811575827
11,476,1.390251124390327
11,596,1.5768984374837118
12,45,2.904452376899416
12,106,2.3010340763152586
12,424,3.5131976738729533
12,466,1.6172031631734427
12,489,1.9764740134909453
13,62,2.1794656617555828
13,285,2.0188596376002104
13,500,0.5451192915003489
13,564,1.4077554228923215
